MSSV,NMDT,CTRR,HTS,KTLT,CTDLGT,KTMT,LTHDT,MHH,HCSDL,HDH,NMTTNT,DHMT,MMANM
90123919,7.0,7.0,5.5,6.5,6.5,5.0,7.5,7.0,6.5,6.5,0,1,1
90155672,6.5,7.5,6.5,6.5,8.0,7.5,7.5,7.0,8.0,8.5,1,1,0
90344582,6.5,6.5,5.5,8.0,7.0,5.0,6.5,7.0,6.5,7.5,1,0,1
90670824,7.0,7.5,8.0,7.5,8.5,9.0,8.0,8.5,8.0,9.0,1,0,0
90957884,7.5,8.0,8.5,6.5,7.0,8.0,9.0,8.5,7.0,6.5,0,1,1
90965511,8.0,7.5,8.0,8.5,9.0,8.0,8.0,9.0,8.0,8.0,0,0,0
91325501,8.5,7.0,6.0,8.0,6.0,8.0,8.5,6.0,7.5,6.0,0,0,0
91734378,7.0,6.0,6.5,7.5,7.0,7.0,8.0,7.0,6.0,7.0,0,0,0
91748147,9.0,6.0,5.5,6.0,5.5,6.5,7.0,6.5,6.5,6.5,0,0,0
91904699,7.0,6.0,6.5,6.0,6.5,5.0,7.5,5.5,7.0,5.0,0,1,0
92050907,7.0,6.5,5.5,8.0,1.5,5.5,6.5,7.5,6.0,6.0,0,1,1
92215722,8.5,9.0,9.0,8.5,9.0,8.5,9.0,9.5,8.0,8.5,0,0,0
92444046,6.0,6.5,3.5,6.0,5.0,5.0,7.0,6.0,5.5,6.5,0,0,0
92475692,6.5,6.0,5.5,6.5,2.0,5.0,5.5,6.0,6.0,5.0,1,0,1
92531994,8.5,7.5,6.0,8.0,7.5,7.5,8.0,6.0,7.5,8.5,0,0,1
92842363,7.0,7.0,7.0,7.5,5.5,5.0,7.0,7.5,7.0,7.0,0,0,0
93084468,8.0,8.0,9.0,8.5,8.0,8.5,8.5,9.0,7.5,8.0,0,0,0
93176656,9.0,7.5,6.5,8.0,7.5,8.5,8.5,8.5,8.0,8.5,1,0,1
93221016,7.5,6.5,6.0,5.5,6.5,5.5,7.5,5.5,5.0,6.0,1,1,0
93288632,6.5,6.0,5.0,6.5,6.5,5.5,7.5,6.5,6.0,6.5,1,1,0
93339035,6.5,6.0,5.5,8.0,6.0,5.0,7.5,7.0,6.0,8.0,1,0,1
93660722,7.5,7.0,5.5,6.0,8.0,7.0,8.5,8.5,7.5,9.0,1,1,0
93839806,8.0,8.5,6.0,8.5,7.5,0.0,6.5,9.0,7.5,9.0,1,0,0
93871772,7.5,7.0,6.0,7.0,5.0,6.0,7.0,6.5,7.5,7.0,1,0,0
93972687,9.0,7.5,7.5,7.5,5.5,8.0,8.0,8.0,7.0,7.0,0,0,0
94305108,7.0,7.5,7.5,5.5,7.5,7.5,8.0,8.0,8.5,8.5,1,1,1
94308681,7.0,6.5,6.0,6.0,8.5,7.0,8.5,7.5,7.0,8.0,1,0,1
94677835,6.5,8.5,7.5,7.0,8.5,8.5,9.5,8.0,9.0,8.0,1,1,1
94886402,7.0,6.5,5.5,7.5,7.0,5.5,8.0,7.0,6.0,5.5,0,1,1
95191519,8.0,8.0,7.0,7.5,7.5,6.5,8.0,8.0,7.0,7.0,1,1,1
95501897,9.0,7.0,8.0,8.0,7.0,6.5,7.5,6.0,7.5,7.0,0,1,1
95672453,8.5,6.5,8.0,6.5,8.0,8.5,8.0,8.5,7.5,9.0,0,0,0
95836492,8.5,8.0,7.0,8.0,8.5,8.0,9.0,8.5,8.0,8.0,0,0,1
95840546,6.5,6.0,7.0,6.5,7.5,6.5,8.5,7.5,7.5,7.0,1,0,1
96002915,8.5,8.5,9.0,10.0,10.0,9.0,9.0,9.5,8.5,8.5,0,0,0
96132330,6.0,6.5,6.0,6.5,6.5,5.5,7.0,8.5,5.5,7.5,0,1,0
96432272,6.0,7.0,6.0,6.5,1.5,8.0,7.0,7.0,6.5,8.0,0,0,0
97017017,9.0,6.5,6.5,6.5,7.5,8.5,7.5,7.5,7.5,7.5,0,0,0
97433544,6.5,7.5,5.5,7.0,7.0,6.0,8.0,7.5,6.5,7.5,1,1,0
97942429,7.0,6.5,8.5,8.5,8.0,8.0,8.0,8.5,8.0,8.5,1,1,0
98375723,6.5,5.0,8.0,6.0,7.0,6.5,7.5,7.5,6.5,6.5,1,1,1
98495949,8.5,7.5,8.0,9.0,8.5,8.5,9.0,9.0,8.5,8.0,0,0,1
99042838,6.5,6.0,5.0,5.5,5.5,5.5,7.0,5.5,5.5,5.0,1,0,1
99364682,7.5,7.5,6.0,6.5,7.0,7.0,8.0,7.5,6.0,8.0,1,0,1
99644684,8.5,6.5,9.5,10.0,7.5,7.5,8.0,8.0,8.5,8.5,1,0,0
99782618,9.0,7.0,7.0,7.0,5.5,7.0,8.0,9.0,9.5,9.5,0,0,0
